IMF,amount,MAPE,MAE,MSE,RMSE,DTW
2+3+residue,45,1.04,44.04,3197.42,56.55,8228.24828087542
2+3+residue,46,1.03,43.33,3184.02,56.43,8104.979817579229
2+3+residue,47,1.0,41.89,2960.92,54.41,8156.525904763523
2+3+residue,48,1.01,42.54,2963.38,54.44,8065.813521225498
2+3+residue,49,0.97,41.0,2751.5,52.45,7720.354953982693
2+3+residue,50,1.0,42.1,2943.36,54.25,7902.027356233597
2+3+residue,51,1.0,42.21,2889.44,53.75,7891.706070448281
2+3+residue,52,1.0,42.2,2883.25,53.7,7825.412605946518
2+3+residue,53,1.0,42.31,3016.51,54.92,7706.760752316159
2+3+residue,54,0.97,40.84,2856.67,53.45,7265.758863174771
2+3+residue,55,0.99,41.57,2761.52,52.55,7699.360307472672
2+3+residue,56,0.98,41.26,2874.27,53.61,7539.67240151204
2+3+residue,57,1.01,42.41,3018.27,54.94,7669.027346812374
2+3+residue,58,0.97,40.86,2767.3,52.61,7449.206423065638
2+3+residue,59,0.98,41.55,2765.18,52.58,7473.691073005353
2+3+residue,60,0.95,40.17,2739.15,52.34,7502.23885295463
2+3+residue,61,0.97,41.03,2768.3,52.61,7622.895236116075
2+3+residue,62,0.96,40.5,2801.05,52.92,7447.724051780069
2+3+residue,63,0.96,40.72,2710.8,52.07,7592.809195681893
2+3+residue,64,0.97,41.14,2776.54,52.69,7405.230394772891
2+3+residue,65,0.97,40.85,2661.83,51.59,7890.430524495607
2+3+residue,66,0.96,40.5,2713.95,52.1,7512.7050327547795
2+3+residue,67,0.98,41.42,2804.04,52.95,7799.725241916811
2+3+residue,68,0.97,40.97,2795.94,52.88,7854.875557843876
2+3+residue,69,0.97,40.94,2764.73,52.58,7350.825552314285
2+3+residue,70,0.94,39.57,2627.78,51.26,7537.471462921023
2+3+residue,71,0.94,39.65,2609.84,51.09,7252.038241306012
2+3+residue,72,0.96,40.55,2796.83,52.89,7711.418792594311
2+3+residue,73,0.95,40.22,2700.44,51.97,7173.578912629766
2+3+residue,74,0.92,38.88,2647.75,51.46,7288.320783567859
2+3+residue,75,0.91,38.15,2541.75,50.42,7440.33936113195
2+3+residue,76,0.94,39.88,2599.44,50.98,7587.126459476952
2+3+residue,77,0.94,39.59,2656.32,51.54,7525.356644955882
2+3+residue,78,0.93,39.38,2636.04,51.34,6892.56091148483
2+3+residue,79,0.9,37.99,2542.97,50.43,7018.00713438636
2+3+residue,80,0.89,37.56,2517.55,50.18,7050.284156795864
2+3+residue,81,0.9,37.73,2401.59,49.01,7353.429808030727
2+3+residue,82,0.93,39.28,2719.3,52.15,7589.808954447888
2+3+residue,83,0.93,39.09,2651.12,51.49,7346.23842096763
2+3+residue,84,0.87,36.77,2394.77,48.94,7117.789158278336
2+3+residue,85,0.91,38.43,2530.11,50.3,7419.132700699343
2+3+residue,86,0.89,37.83,2402.24,49.01,7469.988995485826
2+3+residue,87,0.86,36.46,2339.32,48.37,7273.608341434958
2+3+residue,88,0.86,36.36,2314.43,48.11,6768.072702107358
2+3+residue,89,0.88,37.23,2373.3,48.72,7224.442469930346
2+3+residue,90,0.89,37.65,2472.12,49.72,7561.100000682901
2+3+residue,91,0.88,37.02,2408.96,49.08,6994.333556842989
2+3+residue,92,0.84,35.65,2276.0,47.71,6902.482961337288
2+3+residue,93,0.86,36.25,2298.13,47.94,7272.28741665262
2+3+residue,94,0.87,36.52,2428.61,49.28,6895.778699858867
2+3+residue,95,0.88,37.47,2428.92,49.28,7165.042541062132
2+3+residue,96,0.83,35.34,2233.83,47.26,7001.226380500448
2+3+residue,97,0.87,36.74,2515.72,50.16,6757.973881418544
2+3+residue,98,0.85,36.22,2379.82,48.78,6884.326250565518
2+3+residue,99,0.83,34.96,2212.57,47.04,6912.287856255996
2+3+residue,100,0.81,34.45,2220.49,47.12,6520.860866413396
2+3+residue,101,0.81,34.27,2144.99,46.31,6780.403659695892
2+3+residue,102,0.85,35.91,2306.45,48.03,6734.252427648451
2+3+residue,103,0.83,35.34,2214.48,47.06,6994.507589487843
2+3+residue,104,0.82,34.45,2282.62,47.78,6483.74518058048
2+3+residue,105,0.83,35.05,2304.0,48.0,6703.019072727577
2+3+residue,106,0.81,34.25,2147.37,46.34,6921.981167265471
2+3+residue,107,0.82,34.6,2212.95,47.04,6850.369055003038
2+3+residue,108,0.81,34.1,2019.75,44.94,7314.408344739696
2+3+residue,109,0.79,33.74,2191.54,46.81,6476.78834083574
2+3+residue,110,0.8,33.99,2156.79,46.44,6638.794686473947
2+3+residue,111,0.79,33.42,2222.85,47.15,6116.362837410814
2+3+residue,112,0.78,33.26,2236.91,47.3,6361.317760965613
2+3+residue,113,0.81,34.01,2152.87,46.4,6519.750800638887
2+3+residue,114,0.81,34.22,2140.2,46.26,6750.916813075633
2+3+residue,115,0.8,33.41,2055.91,45.34,6911.945881727301
2+3+residue,116,0.81,34.2,2145.21,46.32,6748.422046139798
2+3+residue,117,0.77,32.36,2051.58,45.29,6245.01187327978
2+3+residue,118,0.79,33.1,2050.79,45.29,7121.534049157912
2+3+residue,119,0.73,30.77,1828.14,42.76,6559.204379444467
2+3+residue,120,0.75,31.72,1987.36,44.58,6246.126619408655
2+3+residue,121,0.76,32.41,2094.03,45.76,6605.673845995265
2+3+residue,122,0.77,32.61,2132.62,46.18,6637.220412712544
2+3+residue,123,0.75,31.79,1945.62,44.11,6542.149807263939
2+3+residue,124,0.74,31.35,1993.76,44.65,6721.980175559764
2+3+residue,125,0.79,32.96,2088.38,45.7,6850.819053797695
2+3+residue,126,0.74,30.95,1896.49,43.55,6294.174781010608
2+3+residue,127,0.71,30.02,1817.38,42.63,6366.078617150088
2+3+residue,128,0.71,29.35,1768.05,42.05,6258.205199989711
2+3+residue,129,0.74,30.67,1889.96,43.47,6626.09514934974
2+3+residue,130,0.73,30.46,1834.85,42.84,6363.826626632887
2+3+residue,131,0.74,31.49,1998.57,44.71,6592.908878526655
2+3+residue,132,0.71,29.8,1808.99,42.53,6470.702559619818
2+3+residue,133,0.69,29.24,1753.45,41.87,5958.438673610083
2+3+residue,134,0.7,29.99,1782.55,42.22,6574.098300146554
2+3+residue,135,0.71,30.12,1838.85,42.88,6192.4574481902255
2+3+residue,136,0.71,29.79,1911.71,43.72,6196.381661601593
2+3+residue,137,0.67,28.14,1733.9,41.64,5694.8873395522105
2+3+residue,138,0.68,28.34,1802.34,42.45,6117.872926557247
2+3+residue,139,0.7,29.56,1923.36,43.86,6108.469307876054
2+3+residue,140,0.7,29.61,1929.02,43.92,6156.235319530042
2+3+residue,141,0.66,27.94,1645.84,40.57,5798.3309990316175
2+3+residue,142,0.67,28.44,1767.94,42.05,6065.723866474105
2+3+residue,143,0.65,27.27,1568.18,39.6,5933.45711439673
2+3+residue,144,0.65,27.51,1759.41,41.95,5760.079449847472
2+3+residue,5,2.06,86.49,11931.24,109.23,23411.670172290567
2+3+residue,6,1.76,75.5,10114.74,100.57,19397.522051033862
2+3+residue,8,1.57,66.79,7456.88,86.35,16940.809680768434
2+3+residue,9,1.38,58.64,5739.57,75.76,14280.739119219154
2+3+residue,10,1.34,57.07,5326.11,72.98,13655.897597169724
2+3+residue,11,1.23,51.77,4513.15,67.18,11833.34341571088
2+3+residue,12,1.24,52.37,4547.51,67.44,11599.32925106822
2+3+residue,13,1.2,50.6,4362.82,66.05,11177.747601290584
2+3+residue,14,1.22,51.57,4515.53,67.2,10224.723034079658
2+3+residue,15,1.19,50.46,4391.93,66.27,9894.585461266592
2+3+residue,16,1.19,50.27,4116.71,64.16,9705.953644608928
2+3+residue,18,1.16,48.71,3722.76,61.01,9457.506562067383
2+3+residue,19,1.16,48.94,3843.18,61.99,9495.794428814115
2+3+residue,20,1.14,48.17,3685.03,60.7,9233.532989155496
2+3+residue,21,1.13,47.31,3598.89,59.99,9160.553203297
2+3+residue,22,1.13,47.67,3815.09,61.77,9310.430405199568
2+3+residue,23,1.07,45.3,3583.64,59.86,8914.117216589566
2+3+residue,24,1.07,45.47,3564.01,59.7,8542.846958153625
2+3+residue,25,1.12,47.01,3540.62,59.5,9119.381820238616
2+3+residue,26,1.07,45.26,3348.74,57.87,8322.960449901557
2+3+residue,27,1.1,46.24,3396.56,58.28,8717.785150407191
2+3+residue,28,1.11,46.62,3508.29,59.23,9007.56092577861
2+3+residue,29,1.06,44.93,3438.75,58.64,8181.760067535408
2+3+residue,30,1.04,43.95,3284.07,57.31,8334.6738619989
2+3+residue,31,1.08,45.29,3403.11,58.34,8182.065477187602
2+3+residue,32,1.09,45.74,3422.19,58.5,8639.758459689452
2+3+residue,33,1.03,43.41,3229.43,56.83,8275.919522743909
2+3+residue,34,1.09,45.67,3442.41,58.67,8568.6803717729
2+3+residue,35,1.07,44.93,3256.17,57.06,8611.508216467093
2+3+residue,36,1.02,43.23,3165.14,56.26,7750.167470262329
2+3+residue,37,1.02,43.08,3087.45,55.56,8294.85739547207
2+3+residue,38,1.06,44.45,3169.67,56.3,8488.6262934952
2+3+residue,39,1.06,44.7,3320.83,57.63,8442.178194922977
2+3+residue,40,1.0,42.36,2956.35,54.37,7939.251322316598
2+3+residue,41,1.04,43.55,3165.42,56.26,8578.660919660533
2+3+residue,42,1.04,43.88,3127.56,55.92,8176.851168183012
2+3+residue,43,1.02,42.83,3147.55,56.1,7872.237895109167
2+3+residue,44,1.02,42.88,3129.78,55.94,8019.364342927737
2+3+residue,45,1.03,43.39,3180.1,56.39,8136.838856832061
2+3+residue,46,1.0,42.29,2936.83,54.19,7889.078979597562
2+3+residue,47,1.0,42.33,2911.51,53.96,7897.403007671024
2+3+residue,48,1.03,43.35,2998.41,54.76,8395.931091238039
2+3+residue,49,1.02,42.84,2980.67,54.6,7726.21928744359
2+3+residue,50,1.0,42.49,2946.37,54.28,7936.480322217556
2+3+residue,51,1.05,43.97,3165.74,56.26,8229.987836630353
